Title,Genre,Director,Budget,Revenue,IMDB_Rating,Review
Movie 56,Horror,Director D,32795659,285450075,7.2,Amazing movie with great visuals and acting.
Movie 57,Drama,Director B,1392573,45591404,8,Terrible plot and boring scenes.
Movie 58,Comedy,Director B,41479887,240587376,9.1,Amazing movie with great visuals and acting.
Movie 59,Thriller,Director D,68095075,185521600,4.5,A decent movie with good direction.
Movie 60,Romance,Director B,18697479,131373054,6.2,Amazing movie with great visuals and acting.
Movie 61,Drama,Director A,56230646,49104339,8.8,Loved the characters and the storyline.
Movie 62,Comedy,Director D,24518417,138150209,9.1,Terrible plot and boring scenes.
Movie 63,Drama,Director B,94968901,9119718,4,Loved the characters and the storyline.
Movie 64,Thriller,Director C,27783993,200225386,4.1,Amazing movie with great visuals and acting.
Movie 65,Comedy,Director A,61002143,247880152,8.9,Amazing movie with great visuals and acting.
Movie 66,Horror,Director A,10658264,260305092,7.9,"Not worth the time, poor screenplay."
Movie 67,Thriller,Director A,61511677,191022160,8.8,Amazing movie with great visuals and acting.
Movie 68,Romance,Director C,90449607,170164833,8.1,Terrible plot and boring scenes.
Movie 69,Drama,Director A,24405330,253243579,5,A decent movie with good direction.
Movie 70,Comedy,Director A,81288463,240156214,5.9,"Not worth the time, poor screenplay."
Movie 71,Action,Director A,84811669,193571083,4,A decent movie with good direction.
Movie 72,Thriller,Director D,83813572,250745175,7.7,A decent movie with good direction.
Movie 73,Thriller,Director B,82209647,274945160,6.4,Loved the characters and the storyline.
Movie 74,Thriller,Director C,86755289,148195577,4.9,Terrible plot and boring scenes.
Movie 75,Drama,Director C,52605744,195752637,5.6,Loved the characters and the storyline.
Movie 76,Comedy,Director D,68430092,67820166,4.9,Loved the characters and the storyline.
Movie 77,Horror,Director A,78341201,256413911,6.5,A decent movie with good direction.
Movie 78,Horror,Director B,36341385,241238527,4,Amazing movie with great visuals and acting.
Movie 79,Drama,Director A,36498585,278502603,8.4,Amazing movie with great visuals and acting.
Movie 80,Horror,Director C,79826914,179376779,6.8,Terrible plot and boring scenes.
Movie 81,Horror,Director A,94584832,268279257,5,Amazing movie with great visuals and acting.
Movie 82,Horror,Director A,28315160,163848232,5.9,Amazing movie with great visuals and acting.
Movie 83,Comedy,Director A,94274406,21834768,9.2,Terrible plot and boring scenes.
Movie 84,Comedy,Director C,48561544,293618886,5.3,A decent movie with good direction.
Movie 85,Thriller,Director B,97512760,61591927,8.3,Amazing movie with great visuals and acting.
Movie 86,Action,Director A,57995137,135316804,3.9,Terrible plot and boring scenes.
Movie 87,Action,Director C,21174324,262894609,4.4,Amazing movie with great visuals and acting.
Movie 88,Action,Director A,37137453,202032650,7.9,Terrible plot and boring scenes.
Movie 89,Comedy,Director D,33197238,98680398,6.5,Terrible plot and boring scenes.
Movie 90,Action,Director D,81455134,152605026,7.4,A decent movie with good direction.
Movie 91,Comedy,Director A,21502927,31388523,4.1,"Not worth the time, poor screenplay."
Movie 92,Action,Director A,63180089,108727436,6.6,Terrible plot and boring scenes.
Movie 93,Horror,Director C,18300062,92025616,5.3,"Not worth the time, poor screenplay."
Movie 94,Action,Director B,33855283,183828808,7.4,Amazing movie with great visuals and acting.
Movie 95,Thriller,Director D,48855982,281181101,4.6,Terrible plot and boring scenes.
Movie 96,Romance,Director D,36164897,189997204,8.8,Amazing movie with great visuals and acting.
Movie 97,Comedy,Director A,9493937,234090490,7.8,Terrible plot and boring scenes.
Movie 98,Horror,Director A,21335838,279045007,4.1,Amazing movie with great visuals and acting.
Movie 99,Romance,Director C,24989269,49600521,3.5,Amazing movie with great visuals and acting.
Movie 100,Comedy,Director C,45963211,201973490,9,"Not worth the time, poor screenplay."
Movie 101,Thriller,Director C,9099947,79493403,9.4,Loved the characters and the storyline.
Movie 102,Drama,Director C,93264256,214080043,6.1,"Not worth the time, poor screenplay."
Movie 103,Thriller,Director C,84046195,229320693,9.5,"Not worth the time, poor screenplay."
Movie 104,Horror,Director A,99537885,113949183,7,"Not worth the time, poor screenplay."
Movie 105,Horror,Director D,59207517,71494628,6,Loved the characters and the storyline.
Movie 106,Action,Director B,81839512,169641542,9.3,Terrible plot and boring scenes.
Movie 107,Drama,Director C,45716117,241971333,6.3,Terrible plot and boring scenes.
Movie 108,Comedy,Director A,92579437,58979999,4.2,Loved the characters and the storyline.
Movie 109,Thriller,Director D,80713560,93313595,8.8,Loved the characters and the storyline.
Movie 110,Romance,Director D,11859113,222786855,9.5,Amazing movie with great visuals and acting.
Movie 111,Comedy,Director B,8485354,261114001,7.4,A decent movie with good direction.
Movie 112,Romance,Director D,73656657,283961856,7.3,A decent movie with good direction.
Movie 113,Thriller,Director B,32049722,99629790,8.2,Loved the characters and the storyline.
Movie 114,Comedy,Director D,81298730,66581477,5.7,"Not worth the time, poor screenplay."
Movie 115,Action,Director D,4032219,237247926,5.2,A decent movie with good direction.
Movie 116,Action,Director B,43344857,162270645,5.1,Loved the characters and the storyline.
Movie 117,Comedy,Director B,22910666,134681450,7.3,A decent movie with good direction.
Movie 118,Horror,Director D,73199989,181892274,8.8,Loved the characters and the storyline.
Movie 119,Romance,Director D,5637941,79873094,6.6,"Not worth the time, poor screenplay."
Movie 120,Thriller,Director D,81874928,143253309,8.5,"Not worth the time, poor screenplay."
Movie 121,Horror,Director B,46677791,294595135,5.3,Terrible plot and boring scenes.
Movie 122,Comedy,Director C,2441442,298333085,5.5,Loved the characters and the storyline.
Movie 123,Drama,Director A,38027682,201399272,6.5,Loved the characters and the storyline.
Movie 124,Action,Director C,55440765,80469489,4.5,Terrible plot and boring scenes.
Movie 125,Drama,Director D,47399172,80305936,7.4,Terrible plot and boring scenes.
Movie 126,Thriller,Director C,8573185,251708977,7.4,"Not worth the time, poor screenplay."
Movie 127,Drama,Director C,90898952,53478040,4.3,Loved the characters and the storyline.
Movie 128,Thriller,Director D,55838962,298095213,9,A decent movie with good direction.
Movie 129,Comedy,Director A,24304845,179678293,9.5,Terrible plot and boring scenes.
Movie 130,Drama,Director C,21994025,64230508,4.9,"Not worth the time, poor screenplay."
Movie 131,Comedy,Director A,20067895,290156637,5,Loved the characters and the storyline.
Movie 132,Action,Director C,87684567,250511679,8.4,Loved the characters and the storyline.
Movie 133,Thriller,Director C,17320451,291883640,3.9,Terrible plot and boring scenes.
Movie 134,Drama,Director D,86380420,165383518,4.2,Terrible plot and boring scenes.
Movie 135,Horror,Director A,16228247,26949177,8.9,"Not worth the time, poor screenplay."
Movie 136,Horror,Director A,78470204,177325122,8.6,Amazing movie with great visuals and acting.
Movie 137,Comedy,Director A,11663852,10112775,6.3,Terrible plot and boring scenes.
Movie 138,Horror,Director A,62948256,58362589,7.1,Terrible plot and boring scenes.
Movie 139,Horror,Director B,80296555,64797957,8.2,Amazing movie with great visuals and acting.
Movie 140,Comedy,Director A,52618777,175795366,5.1,Amazing movie with great visuals and acting.
Movie 141,Thriller,Director C,21590376,14753093,8.7,Amazing movie with great visuals and acting.
Movie 142,Horror,Director D,95904493,128447361,5.5,A decent movie with good direction.
Movie 143,Action,Director B,85047437,216722925,3.7,Amazing movie with great visuals and acting.
Movie 144,Thriller,Director C,44345119,76655261,8.7,Terrible plot and boring scenes.
Movie 145,Romance,Director B,14594963,169349003,6.7,Amazing movie with great visuals and acting.
Movie 146,Comedy,Director B,96704696,164040133,3.6,A decent movie with good direction.
Movie 147,Comedy,Director C,35823717,71763876,5.1,Loved the characters and the storyline.
Movie 148,Horror,Director D,86226602,54589562,6.2,Amazing movie with great visuals and acting.
Movie 149,Thriller,Director D,82572897,208642037,4.6,Loved the characters and the storyline.
Movie 150,Romance,Director A,98859658,95518664,3.6,Terrible plot and boring scenes.
Movie 151,Horror,Director C,70370870,298336345,9.3,"Not worth the time, poor screenplay."
Movie 152,Comedy,Director B,48311559,8579772,5.4,Loved the characters and the storyline.
Movie 153,Thriller,Director B,40835242,258084886,3.7,"Not worth the time, poor screenplay."
Movie 154,Horror,Director D,67252730,215326568,7.1,A decent movie with good direction.
Movie 155,Comedy,Director A,54491805,49294244,6,"Not worth the time, poor screenplay."
Movie 156,Drama,Director A,22362074,39487596,5.5,"Not worth the time, poor screenplay."
Movie 157,Drama,Director D,58312438,58806184,5.1,Loved the characters and the storyline.
Movie 158,Comedy,Director C,84033495,172490353,6.5,A decent movie with good direction.
Movie 159,Drama,Director C,99760456,42477295,7.2,"Not worth the time, poor screenplay."
Movie 160,Horror,Director C,97651954,290313122,5.4,Loved the characters and the storyline.
Movie 161,Thriller,Director B,66987796,277613771,8.8,Amazing movie with great visuals and acting.
Movie 162,Thriller,Director B,52024768,264760171,3.7,Amazing movie with great visuals and acting.
Movie 163,Comedy,Director D,77768307,13408434,6.2,Amazing movie with great visuals and acting.
Movie 164,Comedy,Director C,16951866,219586171,5.2,"Not worth the time, poor screenplay."
Movie 165,Thriller,Director B,44846867,39067749,3.5,Amazing movie with great visuals and acting.
Movie 166,Comedy,Director D,66894259,222734224,7,A decent movie with good direction.
Movie 167,Comedy,Director A,35698124,246362333,5.1,Loved the characters and the storyline.
Movie 168,Horror,Director C,99230605,81147007,9.4,"Not worth the time, poor screenplay."
Movie 169,Horror,Director A,42477124,234047664,4.8,A decent movie with good direction.
Movie 170,Romance,Director D,15823672,34771610,6.5,Loved the characters and the storyline.
Movie 171,Romance,Director C,19140598,165106531,7.6,Terrible plot and boring scenes.
Movie 172,Thriller,Director C,43655621,239133362,4,"Not worth the time, poor screenplay."
Movie 173,Romance,Director C,65907441,153000876,3.6,A decent movie with good direction.
Movie 174,Action,Director A,15502426,113016527,9.1,"Not worth the time, poor screenplay."
Movie 175,Horror,Director A,67507101,231683423,8.7,Amazing movie with great visuals and acting.
Movie 176,Thriller,Director C,36166056,181816601,7.1,"Not worth the time, poor screenplay."
Movie 177,Comedy,Director C,2969292,25875072,7.1,Amazing movie with great visuals and acting.
Movie 178,Horror,Director B,72879894,189381061,6,Loved the characters and the storyline.
Movie 179,Drama,Director D,88917174,19128274,8.9,Loved the characters and the storyline.
Movie 180,Action,Director D,8084253,217655320,7.3,"Not worth the time, poor screenplay."
Movie 181,Drama,Director C,28620005,109927670,6.9,"Not worth the time, poor screenplay."
Movie 182,Action,Director D,8938112,40143345,4.5,A decent movie with good direction.
Movie 183,Thriller,Director B,34220277,72717972,4.1,"Not worth the time, poor screenplay."
Movie 184,Romance,Director B,4259911,18070329,8.4,Terrible plot and boring scenes.
Movie 185,Thriller,Director D,70559309,8046663,4.7,"Not worth the time, poor screenplay."
Movie 186,Action,Director B,59993305,35647987,6,Amazing movie with great visuals and acting.
Movie 187,Drama,Director B,98154380,151563214,6.1,Loved the characters and the storyline.
Movie 188,Thriller,Director B,8268554,105032512,7.5,"Not worth the time, poor screenplay."
Movie 189,Thriller,Director B,17134146,132228056,7.7,Amazing movie with great visuals and acting.
Movie 190,Action,Director B,63054067,117231190,4.1,A decent movie with good direction.
Movie 191,Thriller,Director A,95326740,4518111,5.3,Amazing movie with great visuals and acting.
Movie 192,Action,Director D,44866791,135419204,6,Terrible plot and boring scenes.
Movie 193,Thriller,Director C,65027120,90890929,4.1,Amazing movie with great visuals and acting.
Movie 194,Comedy,Director C,22129822,250233341,8.2,A decent movie with good direction.
Movie 195,Action,Director C,40410384,182360602,4.1,Amazing movie with great visuals and acting.
Movie 196,Thriller,Director A,70374030,294127882,4,Amazing movie with great visuals and acting.
Movie 197,Thriller,Director A,20906697,10350757,7.8,Terrible plot and boring scenes.
Movie 198,Thriller,Director B,55542094,139651815,4.8,"Not worth the time, poor screenplay."
Movie 199,Action,Director C,37459008,72588854,4.2,Amazing movie with great visuals and acting.
Movie 200,Drama,Director B,22223393,69927257,5.6,A decent movie with good direction.
Movie 201,Thriller,Director A,31345436,10485298,8.2,A decent movie with good direction.
Movie 202,Thriller,Director C,51650163,89801919,6.5,Loved the characters and the storyline.
Movie 203,Comedy,Director C,57303097,222833508,6.8,A decent movie with good direction.
Movie 204,Action,Director B,5902089,87844935,9,Amazing movie with great visuals and acting.
Movie 205,Drama,Director D,10990741,68905142,6.9,A decent movie with good direction.
Movie 206,Horror,Director B,83892414,295907351,6.4,Loved the characters and the storyline.
Movie 207,Drama,Director B,14356450,251391003,8.5,A decent movie with good direction.
Movie 208,Action,Director C,73002375,150731282,6.7,A decent movie with good direction.
Movie 209,Thriller,Director C,28691411,47056424,4.4,Terrible plot and boring scenes.
Movie 210,Comedy,Director A,75503222,163086152,6.3,Amazing movie with great visuals and acting.
Movie 211,Drama,Director C,26537782,110861308,9.2,Amazing movie with great visuals and acting.
Movie 212,Action,Director D,96809483,133411404,6.8,"Not worth the time, poor screenplay."
Movie 213,Action,Director C,46176463,167396503,9.5,Terrible plot and boring scenes.
Movie 214,Romance,Director B,59534021,150233157,4.1,Amazing movie with great visuals and acting.
Movie 215,Drama,Director B,10759413,165828218,4.5,"Not worth the time, poor screenplay."
Movie 216,Romance,Director B,22643069,63786442,5,Loved the characters and the storyline.
Movie 217,Horror,Director B,48511031,233297143,8.9,"Not worth the time, poor screenplay."
Movie 218,Comedy,Director D,6163974,276814469,7.7,Terrible plot and boring scenes.
Movie 219,Comedy,Director C,33857226,56613653,9,Terrible plot and boring scenes.
Movie 220,Drama,Director D,23382274,280613425,5.8,Loved the characters and the storyline.
Movie 221,Drama,Director B,84161202,251948929,6.1,"Not worth the time, poor screenplay."
Movie 222,Thriller,Director C,33662697,18841593,8.7,A decent movie with good direction.
Movie 223,Action,Director C,12610752,83164495,8.2,Amazing movie with great visuals and acting.
Movie 224,Comedy,Director B,65265943,228569151,6.7,A decent movie with good direction.
Movie 225,Comedy,Director A,50954050,121139714,8.8,Loved the characters and the storyline.
Movie 226,Comedy,Director A,28774337,229348639,9.4,Loved the characters and the storyline.
Movie 227,Action,Director C,84876272,134115687,7.7,"Not worth the time, poor screenplay."
Movie 228,Comedy,Director A,88675818,139427222,4.1,Terrible plot and boring scenes.
Movie 229,Drama,Director A,29765432,251591636,9.2,Terrible plot and boring scenes.
Movie 230,Drama,Director C,68515948,40000550,7.3,Loved the characters and the storyline.
Movie 231,Drama,Director C,82464368,150808019,7.9,Amazing movie with great visuals and acting.
Movie 232,Thriller,Director B,27744574,148814137,9,Amazing movie with great visuals and acting.
Movie 233,Horror,Director C,65917113,83752831,5.4,Loved the characters and the storyline.
Movie 234,Comedy,Director A,31297977,234118932,3.6,A decent movie with good direction.
Movie 235,Thriller,Director C,32858962,106645194,5.6,"Not worth the time, poor screenplay."
Movie 236,Comedy,Director B,93197323,46216556,8.2,Terrible plot and boring scenes.
Movie 237,Horror,Director D,32680328,141885208,4,A decent movie with good direction.
Movie 238,Drama,Director B,73882520,262824894,7.5,"Not worth the time, poor screenplay."
Movie 239,Horror,Director C,85338752,231627823,8,Amazing movie with great visuals and acting.
Movie 240,Drama,Director D,90010922,93632073,4.8,Terrible plot and boring scenes.
Movie 241,Action,Director D,79758992,259730539,4.6,A decent movie with good direction.
Movie 242,Drama,Director B,65280979,36791582,7.6,"Not worth the time, poor screenplay."
Movie 243,Action,Director A,96656612,3934201,7.1,Amazing movie with great visuals and acting.
Movie 244,Action,Director B,27145109,220783071,4.3,Loved the characters and the storyline.
Movie 245,Horror,Director D,58066472,158781651,9.1,Terrible plot and boring scenes.
Movie 246,Horror,Director C,78566131,127118438,4.9,Terrible plot and boring scenes.
Movie 247,Romance,Director A,28396972,79546733,6.5,Amazing movie with great visuals and acting.
Movie 248,Drama,Director B,43469384,89852929,5,Loved the characters and the storyline.
Movie 249,Action,Director A,80251376,211953035,7.1,Loved the characters and the storyline.
Movie 250,Romance,Director C,45653662,95576871,6.5,"Not worth the time, poor screenplay."
Movie 251,Romance,Director D,38169141,63477234,7.7,A decent movie with good direction.
Movie 252,Thriller,Director C,4499630,100051043,8.9,Loved the characters and the storyline.
Movie 253,Drama,Director D,23669614,13133079,3.6,Amazing movie with great visuals and acting.
Movie 254,Drama,Director C,38910176,8488678,5.8,Amazing movie with great visuals and acting.
Movie 255,Drama,Director C,75603163,114282066,4,Amazing movie with great visuals and acting.
Movie 256,Drama,Director B,8901316,81315755,5.4,Loved the characters and the storyline.
Movie 257,Action,Director B,93012472,256780060,7.1,"Not worth the time, poor screenplay."
Movie 258,Thriller,Director B,13576637,229122089,6.7,Amazing movie with great visuals and acting.
Movie 259,Romance,Director D,23019395,173761456,3.8,Amazing movie with great visuals and acting.
Movie 260,Action,Director D,29252128,130812962,6.5,"Not worth the time, poor screenplay."
Movie 261,Romance,Director C,99882104,48606738,7.5,Amazing movie with great visuals and acting.
Movie 262,Action,Director B,58582457,228992125,6.4,Loved the characters and the storyline.
Movie 263,Romance,Director A,2606291,163518055,4.6,"Not worth the time, poor screenplay."
Movie 264,Romance,Director B,72239597,51681779,8.3,"Not worth the time, poor screenplay."
Movie 265,Action,Director C,13675371,224311471,4,Loved the characters and the storyline.
Movie 266,Action,Director A,79467724,104523356,4.8,Loved the characters and the storyline.
Movie 267,Comedy,Director A,22688427,292151737,7.3,Loved the characters and the storyline.
Movie 268,Comedy,Director B,77325230,46115879,7,Amazing movie with great visuals and acting.
Movie 269,Horror,Director A,76900362,50408548,8.8,Amazing movie with great visuals and acting.
Movie 270,Action,Director A,41138403,13594103,5.4,Terrible plot and boring scenes.
Movie 271,Comedy,Director D,84121140,188132393,7.8,Amazing movie with great visuals and acting.
Movie 272,Horror,Director D,66014114,211261928,5.1,Loved the characters and the storyline.
Movie 273,Drama,Director A,99646843,40443148,8,A decent movie with good direction.
Movie 274,Romance,Director A,25967097,188571107,8.4,Loved the characters and the storyline.
Movie 275,Romance,Director D,9187654,181766000,7.3,A decent movie with good direction.
Movie 276,Romance,Director D,86957867,103630981,8,Amazing movie with great visuals and acting.
Movie 277,Action,Director D,89666215,271458319,7.8,Loved the characters and the storyline.
Movie 278,Action,Director D,5802487,86564039,7.5,A decent movie with good direction.
Movie 279,Action,Director A,71376449,175258752,8.5,Terrible plot and boring scenes.
Movie 280,Horror,Director D,69199430,250992060,8,Terrible plot and boring scenes.
Movie 281,Thriller,Director D,61766876,129205841,7.7,Loved the characters and the storyline.
Movie 282,Romance,Director B,35763113,282637666,7.8,Terrible plot and boring scenes.
Movie 283,Romance,Director D,88719178,106037606,7,Terrible plot and boring scenes.
Movie 284,Horror,Director C,26036356,289382077,4.3,Loved the characters and the storyline.
Movie 285,Horror,Director D,22604461,271984989,3.9,Terrible plot and boring scenes.
Movie 286,Horror,Director B,8352404,260767140,6.7,"Not worth the time, poor screenplay."
Movie 287,Horror,Director B,58086213,46945240,8,A decent movie with good direction.
Movie 288,Romance,Director C,39741073,120802727,7.5,A decent movie with good direction.
Movie 289,Horror,Director C,24400512,136689328,4.7,Loved the characters and the storyline.
Movie 290,Action,Director B,77298449,25888227,9.5,"Not worth the time, poor screenplay."
Movie 291,Thriller,Director A,78806582,25269597,7.6,Terrible plot and boring scenes.
Movie 292,Comedy,Director A,56481799,7339633,7.8,Loved the characters and the storyline.
Movie 293,Thriller,Director B,10462525,175934433,4.1,Amazing movie with great visuals and acting.
Movie 294,Comedy,Director D,65636927,115175155,6.3,Terrible plot and boring scenes.
Movie 295,Thriller,Director D,36448339,249970467,7,Terrible plot and boring scenes.
Movie 296,Romance,Director B,32465378,112539604,4.6,Terrible plot and boring scenes.
Movie 297,Comedy,Director A,65373519,165140655,6.6,"Not worth the time, poor screenplay."
Movie 298,Comedy,Director B,20318178,258896356,5.3,Terrible plot and boring scenes.
Movie 299,Romance,Director B,32075512,159314477,6.4,Terrible plot and boring scenes.
Movie 300,Romance,Director C,49759429,230735877,4.3,A decent movie with good direction.
Movie 301,Comedy,Director D,69509976,213222188,3.6,A decent movie with good direction.
Movie 302,Romance,Director A,20349380,293455748,4,Amazing movie with great visuals and acting.
Movie 303,Romance,Director B,81147815,56899807,8,Amazing movie with great visuals and acting.
Movie 304,Drama,Director B,14871149,286791473,5.9,Loved the characters and the storyline.
Movie 305,Drama,Director D,37060592,108875719,6.6,Loved the characters and the storyline.
Movie 306,Horror,Director C,80170180,26933280,8.8,Loved the characters and the storyline.
Movie 307,Thriller,Director B,13523456,191726088,8.7,Terrible plot and boring scenes.
Movie 308,Comedy,Director A,41445474,140491294,5.8,Loved the characters and the storyline.
Movie 309,Horror,Director C,97141791,175053692,9.5,"Not worth the time, poor screenplay."
Movie 310,Horror,Director B,72324630,35840355,8.2,Loved the characters and the storyline.
Movie 311,Comedy,Director A,78152045,25817374,7.4,"Not worth the time, poor screenplay."
Movie 312,Romance,Director D,88718290,181243664,6.4,Amazing movie with great visuals and acting.
Movie 313,Comedy,Director D,69002659,94693542,6.8,A decent movie with good direction.
Movie 314,Romance,Director C,78934872,68389300,5,Amazing movie with great visuals and acting.
Movie 315,Action,Director B,24293417,53928951,4.9,A decent movie with good direction.
Movie 316,Drama,Director D,20640549,273836559,4.9,Loved the characters and the storyline.
Movie 317,Drama,Director B,59164407,139925933,7.6,"Not worth the time, poor screenplay."
Movie 318,Thriller,Director D,86205723,233214602,8.4,A decent movie with good direction.
Movie 319,Action,Director C,19719605,275246333,3.8,"Not worth the time, poor screenplay."
Movie 320,Thriller,Director D,35563341,134656386,5.9,Amazing movie with great visuals and acting.
Movie 321,Romance,Director D,13819081,13568913,5,Loved the characters and the storyline.
Movie 322,Horror,Director B,25553231,286461023,4.1,Amazing movie with great visuals and acting.
Movie 323,Comedy,Director B,50362866,87275656,6.6,"Not worth the time, poor screenplay."
Movie 324,Drama,Director C,32355163,239181266,5.4,Loved the characters and the storyline.
Movie 325,Romance,Director D,3813401,240466452,7.6,Terrible plot and boring scenes.
Movie 326,Horror,Director C,63587201,128797895,9.3,Terrible plot and boring scenes.
Movie 327,Thriller,Director B,68890291,42730408,8.2,A decent movie with good direction.
Movie 328,Horror,Director C,1983425,126098106,8.1,A decent movie with good direction.
Movie 329,Romance,Director C,15974865,96298321,4.4,"Not worth the time, poor screenplay."
Movie 330,Horror,Director C,27923671,149432450,8.6,Terrible plot and boring scenes.
Movie 331,Comedy,Director D,87865964,74823359,9.5,A decent movie with good direction.
Movie 332,Action,Director D,39269198,232574636,5.8,Terrible plot and boring scenes.
Movie 333,Drama,Director C,98599710,59473265,9.3,Amazing movie with great visuals and acting.
Movie 334,Drama,Director D,62015392,95527875,6.6,Loved the characters and the storyline.
Movie 335,Action,Director D,17647367,204885020,7.3,Amazing movie with great visuals and acting.
Movie 336,Comedy,Director B,21419559,65467162,4.4,"Not worth the time, poor screenplay."
Movie 337,Romance,Director C,5755625,237460759,4.4,Terrible plot and boring scenes.
Movie 338,Thriller,Director B,83075338,7874830,7,Amazing movie with great visuals and acting.
Movie 339,Horror,Director A,83289105,202637174,3.6,"Not worth the time, poor screenplay."
Movie 340,Comedy,Director A,80898239,107148948,5.1,A decent movie with good direction.
Movie 341,Horror,Director C,77852305,74825539,8.1,Loved the characters and the storyline.
Movie 342,Comedy,Director B,23316159,270635100,9.3,"Not worth the time, poor screenplay."
Movie 343,Drama,Director C,73827171,127979811,4.3,"Not worth the time, poor screenplay."
Movie 344,Romance,Director B,61250116,128366135,7.8,"Not worth the time, poor screenplay."
Movie 345,Romance,Director D,73108245,55489628,4.2,"Not worth the time, poor screenplay."
Movie 346,Horror,Director A,51127824,153304842,6.5,Amazing movie with great visuals and acting.
Movie 347,Romance,Director B,41828811,294328383,6,"Not worth the time, poor screenplay."
